***SESSION HEADER***
{
  "Participant": "edita",
  "Timestamp": "08-56-04-27-08-2019"
}
---SESSION HEADER---
Time;Position;Rotation.X;Rotation.Y;FPS;Input;
57.2646;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;Infinity;;
57.2862;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;Infinity;;
57.2936;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;107.2756;;
57.3399;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;84.1449;;
57.3925;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;68.8182;;
57.4590;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;66.6655;;
57.4896;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;60.0731;;
57.5408;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;54.8697;;
57.5914;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;51.1794;;
57.6590;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;52.7129;;
57.6908;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;50.5824;;
57.7405;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;48.4353;;
57.7903;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;46.6061;;
57.8770;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;48.6016;;
57.8969;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;42.7704;;
57.9403;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;43.3817;;
58.0233;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;47.1480;;
58.0556;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;46.7494;;
58.0924;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;43.9704;;
58.1577;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;46.4664;;
58.1917;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;46.2430;;
58.2600;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;45.5758;;
58.2921;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;44.0014;;
58.3769;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;44.6147;;
58.3904;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;42.8572;;
58.4537;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;43.5848;;
58.4915;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;41.7633;;
58.5478;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;37.0640;;
58.6106;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;40.6983;;
58.6716;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;42.3713;;
58.7242;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;42.0237;;
58.7537;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;40.4905;;
58.7900;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;41.4959;;
58.8391;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;41.4243;;
58.9135;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;38.0857;;
58.9405;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;41.1379;;
59.0239;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;41.4049;;
59.0417;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;40.7962;;
59.1241;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;43.5580;;
59.1716;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;41.2916;;
59.2087;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;41.3840;;
59.2551;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;44.7001;;
59.2926;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;43.2070;;
59.3747;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;46.9433;;
59.3944;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;44.6424;;
59.4573;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;44.8878;;
59.4911;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;47.3291;;
59.5411;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;46.0974;;
59.6145;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;47.6005;;
59.6913;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;44.3261;;
59.6948;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;39.2025;;
59.7571;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;42.0587;;
59.8366;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;43.5516;;
59.8424;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;42.2927;;
59.9072;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;39.7100;;
59.9607;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;41.3628;;
60.0218;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;42.6264;;
60.0553;(-42.8100, 2.5500, 76.1200);96.2105;11.4500;41.0568;;
