***SESSION HEADER***
{
  "Participant": "1003",
  "Timestamp": "13-29-31-12-06-2020"
}
---SESSION HEADER---
Time;Position;Rotation.X;Rotation.Y;FPS;Input;
325.8185;(-42.9468, 2.5785, 75.9979);210.2345;353.1330;89.5557;;
325.8727;(-42.9384, 2.5796, 75.9976);210.4711;352.5258;89.6463;;
325.9189;(-42.9331, 2.5814, 75.9984);210.6337;352.0157;89.4660;;
325.9732;(-42.9284, 2.5852, 76.0007);210.6548;351.2758;89.5722;;
326.0197;(-42.9259, 2.5893, 76.0031);210.6559;350.4461;89.4842;;
326.0740;(-42.9250, 2.5937, 76.0070);210.6470;349.2487;89.2530;;
326.1205;(-42.9257, 2.5966, 76.0103);210.6534;348.1563;89.4007;;
326.1745;(-42.9292, 2.5996, 76.0146);210.7428;346.9362;89.3762;;
326.2207;(-42.9342, 2.6008, 76.0173);210.8153;346.4999;89.6178;;
326.2751;(-42.9430, 2.6025, 76.0196);210.9633;346.4742;89.5317;;
326.3199;(-42.9508, 2.6035, 76.0214);211.0223;346.4589;89.2599;;
326.3644;(-42.9589, 2.6038, 76.0231);211.0874;346.3629;89.6207;;
326.4203;(-42.9703, 2.6041, 76.0258);211.3762;346.5136;89.6971;;
326.4650;(-42.9788, 2.6047, 76.0280);211.7296;346.6188;89.4450;;
326.5207;(-42.9896, 2.6056, 76.0314);212.1371;346.6337;89.6591;;
326.5655;(-42.9972, 2.6057, 76.0340);212.4285;346.7253;89.4705;;
326.6212;(-43.0063, 2.6053, 76.0367);212.6073;347.1055;89.5445;;
326.6660;(-43.0129, 2.6037, 76.0377);212.6516;347.7851;89.2658;;
326.7216;(-43.0219, 2.6009, 76.0379);212.8102;348.8782;89.5153;;
326.7671;(-43.0287, 2.5980, 76.0369);213.0599;349.9164;89.5935;;
326.8223;(-43.0371, 2.5934, 76.0347);213.4603;351.5674;89.6812;;
326.8671;(-43.0433, 2.5860, 76.0314);213.8267;354.1316;89.5551;;
326.9229;(-43.0528, 2.5694, 76.0252);214.5048;359.6767;89.5835;;
326.9676;(-43.0624, 2.5503, 76.0194);215.1230;5.7930;89.4553;;
327.0233;(-43.0722, 2.5254, 76.0119);216.2354;12.4717;89.4676;;
327.0681;(-43.0798, 2.5129, 76.0052);217.2002;15.6074;89.5703;;
327.1245;(-43.0872, 2.5011, 75.9985);217.7217;18.4474;89.2302;;
327.1685;(-43.0916, 2.4945, 75.9932);217.7587;19.9745;89.6481;;
327.2245;(-43.0958, 2.4878, 75.9870);217.5494;21.4555;89.4720;;
327.2694;(-43.0983, 2.4848, 75.9830);217.5443;22.0963;89.6074;;
327.3251;(-43.1009, 2.4821, 75.9793);217.5471;22.5467;89.3570;;
327.3697;(-43.1018, 2.4803, 75.9778);217.6194;22.9497;89.6741;;
