***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "18-07-09-03-12-2017"
}
---SESSION HEADER---
Time; Position; Rotation.X; Rotation.Y; Rotation.Virtualizer; Rotation.Controller.x; Rotation.Controller.y; Height.Virtualizer; FPS; Input;
65230.5558;(-15.8044, 2.5100, -33.4400);284.4703;354.5297;264.3750;288.1550;353.8914;17.5260;89.3795;;
65230.5668;(-15.8044, 2.5100, -33.4400);284.4529;354.5666;264.3750;288.1492;353.8777;17.5260;89.3552;;
65230.5783;(-15.8044, 2.5100, -33.4400);284.4413;354.5931;264.3750;288.1481;353.8728;17.5260;89.4550;;
65230.5898;(-15.8044, 2.5100, -33.4400);284.4367;354.5822;264.3750;288.1562;353.8762;17.5260;89.3164;;
65230.6004;(-15.8044, 2.5100, -33.4400);284.4357;354.5847;264.3750;288.1602;353.8751;17.5260;89.1680;;
65230.6119;(-15.8044, 2.5100, -33.4400);284.4475;354.5663;264.3750;288.1729;353.8662;17.5260;89.5068;;
65230.6229;(-15.8044, 2.5100, -33.4400);284.4559;354.5731;264.3750;288.1717;353.8650;17.5260;89.3776;;
65230.6340;(-15.8044, 2.5100, -33.4400);284.4993;354.5840;264.3750;288.1815;353.8583;17.5260;89.4880;;
65230.6455;(-15.8044, 2.5100, -33.4400);284.5219;354.5715;264.3750;288.1797;353.8527;17.5260;89.4873;;
65230.6565;(-15.8044, 2.5100, -33.4400);284.5507;354.5658;264.3750;288.1707;353.8498;17.5260;89.2108;;
65230.6676;(-15.8044, 2.5100, -33.4400);284.5728;354.5405;264.3750;288.1718;353.8539;17.5260;89.5676;;
65230.6791;(-15.8044, 2.5100, -33.4400);284.6111;354.5163;264.3750;288.1673;353.8564;17.5260;89.6266;;
65230.6906;(-15.8044, 2.5100, -33.4400);284.6339;354.4799;264.3750;288.1688;353.8468;17.5260;89.4473;;
65230.7011;(-15.8044, 2.5100, -33.4400);284.6521;354.4510;264.3750;288.1670;353.8302;17.5260;89.1299;;
65230.7126;(-15.8044, 2.5100, -33.4400);284.6852;354.4355;264.3750;288.1706;353.8188;17.5260;89.7099;;
65230.7236;(-15.8044, 2.5100, -33.4400);284.6960;354.4209;264.3750;288.1687;353.7972;17.5260;89.4209;;
65230.7346;(-15.8044, 2.5100, -33.4400);284.7001;354.4237;264.3750;288.1797;353.7820;17.5260;89.5456;;
65230.7462;(-15.8044, 2.5100, -33.4400);284.7083;354.4197;264.3750;288.1853;353.7874;17.5260;89.4290;;
65230.7567;(-15.8044, 2.5100, -33.4400);284.7083;354.4321;264.3750;288.1781;353.7886;17.5260;89.2471;;
65230.7682;(-15.8044, 2.5100, -33.4400);284.6974;354.4417;264.3750;288.1614;353.7828;17.5260;89.7149;;
65230.7797;(-15.8044, 2.5100, -33.4400);284.6973;354.4555;264.3750;288.1614;353.7722;17.5260;89.4052;;
65230.7907;(-15.8044, 2.5100, -33.4400);284.6846;354.4619;264.3750;288.1615;353.7682;17.5260;89.4595;;
65230.8017;(-15.8044, 2.5100, -33.4400);284.6855;354.4838;264.3750;288.1651;353.7574;17.5260;89.4462;;
65230.8127;(-15.8044, 2.5100, -33.4400);284.6781;354.4787;264.3750;288.1649;353.7605;17.5260;89.4068;;
65230.8242;(-15.8044, 2.5100, -33.4400);284.6668;354.5006;264.3750;288.1788;353.7593;17.5260;89.5749;;
65230.8357;(-15.8044, 2.5100, -33.4400);284.6674;354.4888;264.3750;288.1743;353.7595;17.5260;89.4151;;
65230.8467;(-15.8044, 2.5100, -33.4400);284.6552;354.4968;264.3750;288.1772;353.7537;17.5260;89.2209;;
65230.8573;(-15.8044, 2.5100, -33.4400);284.6467;354.4901;264.3750;288.1853;353.7473;17.5260;89.4523;;
65230.8688;(-15.8044, 2.5100, -33.4400);284.6563;354.5035;264.3750;288.1761;353.7444;17.5260;89.7198;;
65230.8798;(-15.8044, 2.5100, -33.4400);284.6335;354.5030;264.3750;288.1589;353.7547;17.5260;89.5400;;
65230.8908;(-15.8044, 2.5100, -33.4400);284.6329;354.4937;264.3750;288.1531;353.7568;17.5260;89.6748;;
65230.9018;(-15.8044, 2.5100, -33.4400);284.6265;354.5090;264.3750;288.1268;353.7482;17.5260;89.9254;;
65230.9128;(-15.8044, 2.5100, -33.4400);284.6161;354.5143;264.3750;288.1093;353.7467;17.5260;89.8033;;
65230.9243;(-15.8044, 2.5100, -33.4400);284.6181;354.5088;264.3750;288.0860;353.7403;17.5260;89.8087;;
65230.9351;(-15.8044, 2.5100, -33.4400);284.6220;354.4881;264.3750;288.0732;353.7424;17.5260;89.7882;;
65230.9466;(-15.8044, 2.5100, -33.4400);284.6174;354.4812;264.3750;288.0674;353.7404;17.5260;89.8060;;
65230.9576;(-15.8044, 2.5100, -33.4400);284.6136;354.4760;264.3750;288.0576;353.7525;17.5260;89.5124;;
65230.9686;(-15.8044, 2.5100, -33.4400);284.6141;354.4630;264.3750;288.0653;353.7574;17.5260;89.7383;;
